file_nm,security,time,open,high,low,last,settled,change,vol,prev_settled,prev_vol,pre_int
market/Settlements/1_2_2017_ags_settlements.txt,DK CME CLASS IV MILK FUTURES,APR17,,16.28,,16.28,16.26,0,1,16.26,6,361
market/Settlements/1_2_2017_ags_settlements.txt,DRS Bloomberg Roll Select futures,FEB17,,,,,223.7,+2.10,,221.6,,
market/Settlements/1_2_2017_ags_settlements.txt,DRS Bloomberg Roll Select futures,MAR17,,,,,223.7,+2.10,,221.6,,1152
market/Settlements/1_2_2017_ags_settlements.txt,DRS Bloomberg Roll Select futures,APR17,,,,,223.8,+2.10,,221.7,,
market/Settlements/1_2_2017_ags_settlements.txt,DRS Bloomberg Roll Select futures,MAY17,,,,,223.8,+2.10,,221.7,,
market/Settlements/1_2_2017_ags_settlements.txt,DY DRY WHEY FUTURES,JAN17,,,,,44.2100,0,,44.2500,,566
market/Settlements/1_2_2017_ags_settlements.txt,DY DRY WHEY FUTURES,FEB17,46.7250,47.7750,46.7000,47.6500,46.7250,-.0250,11,46.7500,4,599
market/Settlements/1_2_2017_ags_settlements.txt,DY DRY WHEY FUTURES,MAR17,46.5750,47.0000,46.5000,47.0000,46.5000,-.4000,37,46.9000,4,671
market/Settlements/1_2_2017_ags_settlements.txt,DY DRY WHEY FUTURES,APR17,47.1000,47.2500,47.1000,47.2500,47.0000,0,18,47.0000,15,623
market/Settlements/1_2_2017_ags_settlements.txt,FC CME FEEDER CATTLE FUTURES,MAR17,122.100,123.675,121.075,122.300,122.075,-.700,7182,122.775,6169,23476
market/Settlements/1_2_2017_ags_settlements.txt,FC CME FEEDER CATTLE FUTURES,APR17,121.775,123.125,120.625,121.900,121.725,-.700,1983,122.425,1734,8511
market/Settlements/1_2_2017_ags_settlements.txt,FC CME FEEDER CATTLE FUTURES,MAY17,120.875,121.800,119.500,120.825,120.625,-.700,2031,121.325,1449,9467
market/Settlements/1_2_2017_ags_settlements.txt,FC CME FEEDER CATTLE FUTURES,AUG17,121.925,122.700,120.625,121.675,121.650,-.800,1330,122.450,1404,6870
market/Settlements/1_2_2017_ags_settlements.txt,FCP BMD Crude Palm Oil Future,FEB17,,,,,,0,,3230,,
market/Settlements/1_2_2017_ags_settlements.txt,FCP BMD Crude Palm Oil Future,MAR17,,,,,,0,,3100,,
market/Settlements/1_2_2017_ags_settlements.txt,FCP BMD Crude Palm Oil Future,APR17,,,,,,0,,3029,,
market/Settlements/1_2_2017_ags_settlements.txt,FCP BMD Crude Palm Oil Future,MAY17,,,,,,0,,2963,,
market/Settlements/1_2_2017_ags_settlements.txt,FGE GENTING - SSF,FEB17,,,,,,0,,8.30,,
market/Settlements/1_2_2017_ags_settlements.txt,FGE GENTING - SSF,MAR17,,,,,,0,,8.30,,
market/Settlements/1_2_2017_ags_settlements.txt,FGE GENTING - SSF,JUN17,,,,,,0,,8.30,,
market/Settlements/1_2_2017_ags_settlements.txt,FGL BMD GOLD FUTURES,FEB17,,,,,,0,,169.65,,
market/Settlements/1_2_2017_ags_settlements.txt,FGL BMD GOLD FUTURES,MAR17,,,,,,0,,170.15,,
market/Settlements/1_2_2017_ags_settlements.txt,FGL BMD GOLD FUTURES,APR17,,,,,,0,,170.40,,
market/Settlements/1_2_2017_ags_settlements.txt,FGL BMD GOLD FUTURES,JUN17,,,,,,0,,171.55,,
market/Settlements/1_2_2017_ags_settlements.txt,FPO USD RBD Palm Olein Futures,FEB17,,,,,,0,,752.50,,
market/Settlements/1_2_2017_ags_settlements.txt,FPO USD RBD Palm Olein Futures,MAR17,,,,,,0,,752.50,,
market/Settlements/1_2_2017_ags_settlements.txt,FPO USD RBD Palm Olein Futures,APR17,,,,,,0,,752.50,,
market/Settlements/1_2_2017_ags_settlements.txt,FPO USD RBD Palm Olein Futures,MAY17,,,,,,0,,752.50,,
market/Settlements/1_2_2017_ags_settlements.txt,FTE TELEKOM MALAYSAI SSF,FEB17,,,,,,0,,6.00,,
market/Settlements/1_2_2017_ags_settlements.txt,FTE TELEKOM MALAYSAI SSF,MAR17,,,,,,0,,6.00,,
market/Settlements/1_2_2017_ags_settlements.txt,FTE TELEKOM MALAYSAI SSF,JUN17,,,,,,0,,6.00,,
market/Settlements/1_2_2017_ags_settlements.txt,FZE Ethanol Swap (71) Futures,FEB17,,,,,1.5110,-.0030,,1.5140,,92
market/Settlements/1_2_2017_ags_settlements.txt,FZE Ethanol Swap (71) Futures,MAR17,,,,,1.5320,-.0080,,1.5400,34,43
market/Settlements/1_2_2017_ags_settlements.txt,FZE Ethanol Swap (71) Futures,APR17,,,,,1.5480,-.0080,,1.5560,,
market/Settlements/1_2_2017_ags_settlements.txt,FZE Ethanol Swap (71) Futures,MAY17,,,,,1.5430,-.0080,,1.5510,,
market/Settlements/1_2_2017_ags_settlements.txt,GFT FEEDER CATTLE TAS Futures,MAR17,.000,.100,-.075,.075,.000,0,13,.000,,
market/Settlements/1_2_2017_ags_settlements.txt,GFT FEEDER CATTLE TAS Futures,APR17,,.100,-.075,.100,.000,0,,.000,,
market/Settlements/1_2_2017_ags_settlements.txt,HET LEAN HOGS TAS Futures,APR17,.000,.025,-.025,.000,.000,0,407,.000,,
market/Settlements/1_2_2017_ags_settlements.txt,HET LEAN HOGS TAS Futures,JUN17,.000,.050,-.025,.050,.000,0,30,.000,,
market/Settlements/1_2_2017_ags_settlements.txt,IBF Minneapolis National Corn Index Futures,FEB17,,,,,346.0,+6.0,,340.0,,
market/Settlements/1_2_2017_ags_settlements.txt,IBF Minneapolis National Corn Index Futures,MAR17,,,,,351.0,0,,,,
